pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,902.6370410393558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,902.6370410393558
